Anomalous fail?,H,T,S,B,L,H*T,T*S,H*T*S,H*L,CEIL(L/T),HBM_FREQ,KERNEL_FREQ,BUILD_SUCCESS,kLUT,kFF,BRAM,URAM,DSP,SLOTS_USED
0,3,4,8,16,16,12,32,96,48,4,450,198,1,328,375,556,144,724,3
0,3,5,8,16,16,15,40,120,48,4,450,207,1,385,422,492,156,820,3
0,3,6,8,16,16,18,48,144,48,3,450,211,1,417,450,446,165,820,3
0,3,7,8,16,16,21,56,168,48,3,450,209,1,450,477,415,180,820,3
0,3,8,8,16,16,24,64,192,48,2,450,201,1,454,481,556,144,724,3
0,3,9,8,16,16,27,72,216,48,2,450,220,1,512,531,532,168,820,4
0,3,10,8,16,16,30,80,240,48,2,450,221,1,542,558,497,168,820,5
0,3,11,8,16,16,33,88,264,48,2,450,209,1,576,585,473,162,820,4
0,3,12,8,16,16,36,96,288,48,2,450,220,1,608,612,454,180,820,5
0,4,4,8,16,16,16,32,128,64,4,442,183,1,383,433,671,192,964,3
0,4,5,8,16,16,20,40,160,64,4,450,200,1,461,499,588,208,1092,3
0,4,6,8,16,16,24,48,192,64,3,450,218,1,502,535,525,220,1092,4
0,4,7,8,16,16,28,56,224,64,3,450,209,1,546,571,484,240,1092,4
0,4,8,8,16,16,32,64,256,64,2,450,214,1,551,577,673,192,964,4
0,4,9,8,16,16,36,72,288,64,2,450,217,1,629,643,640,224,1092,6
0,4,10,8,16,16,40,80,320,64,2,450,212,1,669,679,593,224,1092,5
0,4,11,8,16,16,44,88,352,64,2,450,217,1,714,715,560,216,1092,5
0,4,12,8,16,16,48,96,384,64,2,450,217,1,757,751,536,240,1092,6
0,5,4,8,16,16,20,32,160,80,4,431,179,1,440,493,786,240,1204,3
0,5,5,8,16,16,25,40,200,80,4,450,199,1,537,575,683,260,1364,3
1,5,6,8,16,16,30,48,240,80,3,-1,-1,0,588,621,604,275,1364,4
0,5,7,8,16,16,35,56,280,80,3,450,193,1,643,666,554,300,1364,5
0,5,8,8,16,16,40,64,320,80,2,450,200,1,650,673,786,240,1204,5
0,5,9,8,16,16,45,72,360,80,2,450,211,1,747,755,747,280,1364,5
0,5,10,8,16,16,50,80,400,80,2,450,214,1,797,802,688,280,1364,6
0,5,11,8,16,16,55,88,440,80,2,450,209,1,854,847,649,270,1364,6
1,5,12,8,16,16,60,96,480,80,2,-1,-1,0,909,909,619,300,1364,6
0,6,4,8,16,16,24,32,192,96,4,440,191,1,496,554,903,288,1444,4
0,6,5,8,16,16,30,40,240,96,4,450,185,1,611,650,777,312,1636,4
0,6,6,8,16,16,36,48,288,96,3,450,206,1,672,706,680,330,1636,5
0,6,7,8,16,16,42,56,336,96,3,450,207,1,739,761,623,360,1636,6
0,6,8,8,16,16,48,64,384,96,2,450,203,1,748,770,905,288,1444,6
0,6,9,8,16,16,54,72,432,96,2,450,213,1,864,868,857,336,1636,6
0,6,10,8,16,16,60,80,480,96,2,450,209,1,923,921,784,336,1636,6
0,6,11,8,16,16,66,88,528,96,2,450,207,1,991,975,736,324,1636,6
0,6,12,8,16,16,72,96,576,96,2,-1,-1,0,1056,1029,701,360,1636,6
0,7,4,8,16,16,28,32,224,112,4,450,190,1,551,614,1018,336,1684,5
0,7,5,8,16,16,35,40,280,112,4,450,187,1,687,728,874,364,1908,5
0,7,6,8,16,16,42,48,336,112,3,450,215,1,758,792,761,385,1908,6
0,7,7,8,16,16,49,56,392,112,3,450,201,1,835,856,691,420,1908,6
0,7,8,8,16,16,56,64,448,112,2,450,201,1,844,865,1018,336,1684,6
0,7,9,8,16,16,63,72,504,112,2,450,203,1,981,980,964,392,1908,6
0,7,10,8,16,16,70,80,560,112,2,450,188,1,1050,1043,881,392,1908,6
0,7,11,8,16,16,77,88,616,112,2,-1,-1,0,1129,1106,825,378,1908,6
1,7,12,8,16,16,84,96,672,112,2,-1,-1,0,-1,-1,-1,-1,-1,6
0,8,4,8,16,16,32,32,256,128,4,450,194,1,607,674,1134,384,1924,5
0,8,5,8,16,16,40,40,320,128,4,450,186,1,762,804,968,416,2180,5
0,8,6,8,16,16,48,48,384,128,3,450,199,1,843,877,840,440,2180,6
0,8,7,8,16,16,56,56,448,128,3,450,195,1,933,950,760,480,2180,6
0,8,8,8,16,16,64,64,512,128,2,450,209,1,943,963,1136,384,1924,6
1,8,9,8,16,16,72,72,576,128,2,-1,-1,0,-1,-1,-1,-1,-1,6
0,8,10,8,16,16,80,80,640,128,2,-1,-1,0,1176,1164,977,448,2180,6
0,8,11,8,16,16,88,88,704,128,2,-1,-1,0,1267,1236,912,432,2180,6
1,8,12,8,16,16,96,96,768,128,2,-1,-1,0,-1,-1,-1,-1,-1,6
0,9,4,8,16,16,36,32,288,144,4,450,182,1,665,737,1251,432,2164,6
0,9,5,8,16,16,45,40,360,144,4,450,191,1,839,883,1063,468,2452,6
0,9,6,8,16,16,54,48,432,144,3,450,186,1,931,965,919,495,2452,6
0,9,7,8,16,16,63,56,504,144,3,450,179,1,1030,1046,830,540,2452,6
0,9,8,8,16,16,72,64,576,144,2,-1,-1,0,1043,1060,1253,432,2164,6
1,9,9,8,16,16,81,72,648,144,2,-1,-1,0,-1,-1,-1,-1,-1,6
1,9,10,8,16,16,90,80,720,144,2,-1,-1,0,-1,-1,-1,-1,-1,6
1,9,11,8,16,16,99,88,792,144,2,-1,-1,0,-1,-1,-1,-1,-1,6
1,9,12,8,16,16,108,96,864,144,2,-1,-1,0,-1,-1,-1,-1,-1,6
0,10,4,8,16,16,40,32,320,160,4,-1,-1,0,722,797,1366,480,2404,6
0,10,5,8,16,16,50,40,400,160,4,431,190,1,913,959,1157,520,2724,6
1,10,6,8,16,16,60,48,480,160,3,-1,-1,0,-1,-1,-1,-1,-1,6
1,10,7,8,16,16,70,56,560,160,3,-1,-1,0,-1,-1,-1,-1,-1,6
1,10,8,8,16,16,80,64,640,160,2,-1,-1,0,-1,-1,-1,-1,-1,6
0,10,9,8,16,16,90,72,720,160,2,-1,-1,0,1333,1319,1288,560,2724,6
0,10,10,8,16,16,100,80,800,160,2,-1,-1,0,1432,1408,1168,560,2724,6
1,10,11,8,16,16,110,88,880,160,2,-1,-1,0,-1,-1,-1,-1,-1,6
0,10,12,8,16,16,120,96,960,160,2,-1,-1,0,1652,1586,1029,600,2724,6
0,11,4,8,16,16,44,32,352,176,4,-1,-1,0,775,856,1483,528,2644,5
0,11,5,8,16,16,55,40,440,176,4,450,185,1,987,1036,1252,572,2996,6
0,11,6,8,16,16,66,48,528,176,3,-1,-1,0,1099,1135,1076,605,2996,6
1,11,7,8,16,16,77,56,616,176,3,-1,-1,0,-1,-1,-1,-1,-1,6
1,11,8,8,16,16,88,64,704,176,2,-1,-1,0,-1,-1,-1,-1,-1,6
1,11,9,8,16,16,99,72,792,176,2,-1,-1,0,-1,-1,-1,-1,-1,6
0,11,10,8,16,16,110,80,880,176,2,-1,-1,0,1557,1528,1262,616,2996,6
0,11,11,8,16,16,121,88,968,176,2,-1,-1,0,1682,1626,1175,594,2996,6
0,11,12,8,16,16,132,96,1056,176,2,-1,-1,0,1801,1726,1110,660,2996,6
0,3,9,2,16,16,27,18,54,48,2,450,216,1,219,244,532,168,208,3
1,3,9,3,16,16,27,27,81,48,2,-1,-1,0,256,278,532,168,310,3
0,3,9,4,16,16,27,36,108,48,2,450,212,1,298,318,532,168,412,3
0,3,9,5,16,16,27,45,135,48,2,450,223,1,345,362,530,168,514,3
0,3,9,6,16,16,27,54,162,48,2,450,220,1,390,412,530,168,616,3
0,3,9,7,16,16,27,63,189,48,2,450,214,1,448,469,532,168,718,3
0,3,9,8,16,16,27,72,216,48,2,450,206,1,512,531,532,168,820,4
0,3,9,9,16,16,27,81,243,48,2,450,215,1,592,610,540,168,922,4
0,4,9,2,16,16,36,18,72,64,2,450,201,1,240,263,638,224,276,4
0,4,9,3,16,16,36,27,108,64,2,450,218,1,290,309,640,224,412,4
0,4,9,4,16,16,36,36,144,64,2,450,214,1,345,361,640,224,548,4
0,4,9,5,16,16,36,45,180,64,2,450,211,1,407,420,638,224,684,4
0,4,9,6,16,16,36,54,216,64,2,450,211,1,467,486,638,224,820,4
1,4,9,7,16,16,36,63,252,64,2,-1,-1,0,544,561,640,224,956,4
0,4,9,8,16,16,36,72,288,64,2,450,211,1,629,643,640,224,1092,6
0,4,9,9,16,16,36,81,324,64,2,450,212,1,732,743,649,224,1228,5
0,5,9,2,16,16,45,18,90,80,2,450,215,1,264,285,749,280,344,5
0,5,9,3,16,16,45,27,135,80,2,450,205,1,325,341,749,280,514,5
0,5,9,4,16,16,45,36,180,80,2,450,210,1,392,405,747,280,684,5
0,5,9,5,16,16,45,45,225,80,2,450,205,1,471,478,747,280,854,5
0,5,9,6,16,16,45,54,270,80,2,450,205,1,546,560,747,280,1024,3
0,5,9,7,16,16,45,63,315,80,2,450,205,1,642,655,749,280,1194,5
0,5,9,8,16,16,45,72,360,80,2,450,206,1,746,755,747,280,1364,5
0,5,9,9,16,16,45,81,405,80,2,450,208,1,873,879,756,280,1534,6
0,6,9,2,16,16,54,18,108,96,2,450,209,1,285,306,857,336,412,6
0,6,9,3,16,16,54,27,162,96,2,450,215,1,358,373,857,336,616,6
0,6,9,4,16,16,54,36,216,96,2,450,215,1,440,450,857,336,820,6
1,6,9,5,16,16,54,45,270,96,2,-1,-1,0,534,536,857,336,1024,4
0,6,9,6,16,16,54,54,324,96,2,450,218,1,623,635,855,336,1228,5
0,6,9,7,16,16,54,63,378,96,2,450,205,1,738,747,857,336,1432,6
0,6,9,8,16,16,54,72,432,96,2,450,209,1,864,868,857,336,1636,6
0,6,9,9,16,16,54,81,486,96,2,450,202,1,1013,1011,864,336,1840,6
0,7,9,2,16,16,63,18,126,112,2,450,216,1,306,324,962,392,480,5
0,7,9,3,16,16,63,27,189,112,2,450,209,1,391,402,962,392,718,5
0,7,9,4,16,16,63,36,252,112,2,450,205,1,485,491,962,392,956,5
0,7,9,5,16,16,63,45,315,112,2,450,220,1,596,595,964,392,1194,5
0,7,9,6,16,16,63,54,378,112,2,450,208,1,700,709,962,392,1432,5
0,7,9,7,16,16,63,63,441,112,2,450,207,1,833,839,962,392,1670,6
0,7,9,8,16,16,63,72,504,112,2,450,205,1,981,980,964,392,1908,6
0,7,9,9,16,16,63,81,567,112,2,-1,-1,0,1152,1145,973,392,2146,6
0,8,9,2,16,16,72,18,144,128,2,450,200,1,327,344,1070,448,548,5
1,8,9,3,16,16,72,27,216,128,2,-1,-1,0,424,432,1070,448,820,5
0,8,9,4,16,16,72,36,288,128,2,450,208,1,532,535,1070,448,1092,5
0,8,9,5,16,16,72,45,360,128,2,431,211,1,658,652,1070,448,1364,5
0,8,9,6,16,16,72,54,432,128,2,450,204,1,777,784,1070,448,1636,6
0,8,9,7,16,16,72,63,504,128,2,450,213,1,929,932,1073,448,1908,6
0,8,9,8,16,16,72,72,576,128,2,-1,-1,0,1098,1093,1073,448,2180,6
1,8,9,9,16,16,72,81,648,128,2,-1,-1,0,-1,-1,-1,-1,-1,6
0,9,9,2,16,16,81,18,162,144,2,450,211,1,351,366,1179,504,616,6
0,9,9,3,16,16,81,27,243,144,2,450,207,1,460,465,1179,504,922,6
