Anomalous failure?,H,T,S,B,L,H*T,T*S,H*T*S,H*L,CEIL(L/T),HBM_FREQ,KERNEL_FREQ,BUILD_SUCCESS,LUT,FF,BRAM,URAM,DSP,SLOTS_USED
0,6,8,6,16,16,48,48,288,96,2,450,208,1,0.3406,0.1927,0.4487,0.3,0.1201,4
0,6,8,6,16,20,48,48,288,120,3,450,193,1,0.3736,0.2068,0.5379,0.375,0.1361,6
0,6,8,8,16,16,48,64,384,96,2,450,212,1,0.4625,0.2624,0.4487,0.3,0.16,6
0,6,8,8,16,20,48,64,384,120,3,450,217,1,0.504,0.2798,0.5379,0.375,0.1813,6
0,6,8,9,16,16,48,72,432,96,2,450,211,1,0.5404,0.3055,0.4526,0.3,0.18,6
0,6,8,9,16,20,48,72,432,120,3,450,203,1,0.5876,0.3253,0.5419,0.375,0.2039,6
0,6,9,6,16,16,54,54,324,96,2,450,195,1,0.3903,0.2185,0.5856,0.3,0.1361,5
0,6,9,6,16,20,54,54,324,120,3,-1,-1,0,0,0,0,0,0,4
0,6,9,8,16,16,54,72,432,96,2,450,207,1,0.5354,0.2997,0.5846,0.3,0.1813,6
0,6,9,8,16,20,54,72,432,120,3,-1,-1,0,0,0,0,0,0,6
0,6,9,9,16,16,54,81,486,96,2,450,175,1,0.6272,0.3498,0.5895,0.3,0.2039,6
0,6,9,9,16,20,54,81,486,120,3,-1,-1,0,0,0,0,0,0,6
0,6,10,8,16,16,60,80,480,96,2,450,201,1,0.5702,0.32,0.532,0.3063,0.1813,6
0,6,10,8,16,20,60,80,480,120,2,450,196,1,0.5686,0.3137,0.6213,0.35,0.16,6
0,8,7,6,16,10,56,42,336,80,2,450,208,1,0.4176,0.2353,0.4447,0.25,0.1813,5
0,8,7,6,16,16,56,42,336,128,3,450,190,1,0.4252,0.2346,0.65,0.4167,0.1813,5
0,8,7,7,16,10,56,49,392,80,2,450,216,1,0.4955,0.277,0.4447,0.25,0.2114,6
0,8,7,7,16,16,56,49,392,128,3,450,187,1,0.504,0.2768,0.651,0.4167,0.2114,5
0,8,7,8,16,10,56,56,448,80,2,450,216,1,0.573,0.3224,0.4447,0.25,0.2416,6
0,8,7,8,16,16,56,56,448,128,3,450,194,1,0.5819,0.3224,0.65,0.4167,0.2416,6
0,8,8,6,16,10,64,48,384,80,2,450,225,1,0.4524,0.2517,0.3961,0.25,0.1813,5
0,8,8,6,16,16,64,48,384,128,2,450,198,1,0.418,0.2335,0.5627,0.4,0.16,5
0,8,8,7,16,10,64,56,448,80,2,450,225,1,0.54,0.2986,0.3971,0.25,0.2114,6
0,8,8,7,16,16,64,56,448,128,2,450,207,1,0.4994,0.2773,0.5627,0.4,0.1866,6
0,8,8,8,16,10,64,64,512,80,2,450,175,1,0.6256,0.349,0.3971,0.25,0.2416,6
0,8,8,8,16,16,64,64,512,128,2,442,207,1,0.5801,0.3261,0.5637,0.4,0.2132,6
0,8,8,8,16,20,64,64,512,160,3,450,190,1,0.6362,0.3495,0.6828,0.5,0.2416,6
1,8,8,9,16,10,64,72,576,80,2,-1,-1,0,0,0,0,0,0,6
0,8,8,9,16,16,64,72,576,128,2,-1,-1,0,-1,-1,-1,-1,-1,-1
0,8,9,6,16,10,72,54,432,80,2,450,220,1,0.4821,0.2686,0.5082,0.25,0.1813,6
0,8,9,6,16,16,72,54,432,128,2,450,168,1,0.4767,0.2694,0.7453,0.4,0.1813,-1
0,8,9,7,16,10,72,63,504,80,2,450,205,1,0.5772,0.3201,0.5082,0.25,0.2114,6
0,8,9,7,16,16,72,63,504,128,2,450,168,1,0.5693,0.3208,0.7453,0.4,0.2114,-1
0,8,9,8,16,10,72,72,576,80,2,-1,-1,0,0,0,0,0,0,6
0,8,9,8,16,16,72,72,576,128,2,-1,-1,0,0,0,0,0,0,6
0,8,9,9,16,10,72,81,648,80,2,-1,-1,0,0,0,0,0,0,6
0,8,9,9,16,16,72,81,648,128,2,-1,-1,0,0,0,0,0,0,6
0,3,8,8,16,10,24,64,192,30,2,450,225,1,0.2991,0.1726,0.2135,0.0938,0.0909,3
0,3,9,9,16,10,27,81,243,30,2,450,219,1,0.3642,0.2092,0.2592,0.0938,0.1022,4
0,3,10,8,16,10,30,80,240,30,1,450,225,1,0.331,0.1898,0.2329,0.0875,0.0802,4
0,3,10,9,16,10,30,90,270,30,1,450,225,1,0.3824,0.2183,0.2369,0.0875,0.0902,6
0,3,10,10,16,10,30,100,300,30,1,450,198,1,0.458,0.2551,0.2398,0.0875,0.1002,6
0,3,11,9,16,10,33,99,297,30,1,450,225,1,0.4079,0.234,0.2324,0.1,0.1022,5
0,3,11,10,16,10,33,110,330,30,1,450,216,1,0.4915,0.2735,0.2383,0.1,0.1135,6
0,3,11,11,16,10,33,121,363,30,1,-1,-1,0,0,0,0,0,0,6
0,3,12,11,16,10,36,132,396,30,1,-1,-1,0,0,0,0,0,0,6
0,3,12,12,16,10,36,144,432,30,1,-1,-1,0,0,0,0,0,0,6
0,4,8,8,16,10,32,64,256,40,2,450,225,1,0.3626,0.2067,0.2502,0.125,0.121,4
0,4,9,9,16,10,36,81,324,40,2,450,219,1,0.4491,0.2547,0.3098,0.125,0.1361,5
0,4,10,8,16,10,40,80,320,40,1,450,222,1,0.4046,0.2296,0.276,0.1167,0.1068,5
0,4,10,9,16,10,40,90,360,40,1,450,220,1,0.4737,0.2665,0.28,0.1167,0.1201,6
0,4,10,10,16,10,40,100,400,40,1,450,210,1,0.5724,0.3156,0.284,0.1167,0.1334,6
0,4,11,9,16,10,44,99,396,40,1,450,220,1,0.5078,0.2874,0.2741,0.1333,0.1361,6
0,4,11,10,16,10,44,110,440,40,1,-1,-1,0,0,0,0,0,0,6
0,4,11,11,16,10,44,121,484,40,1,-1,-1,0,0,0,0,0,0,6
1,4,12,11,16,10,48,132,528,40,1,-1,-1,0,0,0,0,0,0,6
1,4,12,12,16,10,48,144,576,40,1,-1,-1,0,0,0,0,0,0,6
0,5,8,7,16,10,40,56,280,50,2,450,223,1,0.3731,0.2099,0.287,0.1563,0.1323,4
0,5,8,8,16,10,40,64,320,50,2,450,222,1,0.427,0.2417,0.287,0.1563,0.1512,5
0,5,9,7,16,10,45,63,315,50,2,450,220,1,0.3961,0.223,0.3564,0.1563,0.1323,5
0,5,9,8,16,10,45,72,360,50,2,450,206,1,0.4569,0.2578,0.3554,0.1563,0.1512,5
0,5,9,9,16,10,45,81,405,50,2,450,216,1,0.5335,0.3002,0.3604,0.1563,0.17,6
0,5,10,9,16,10,50,90,450,50,1,450,210,1,0.5648,0.315,0.3232,0.1458,0.15,6
1,5,10,10,16,10,50,100,500,50,1,-1,-1,0,0,0,0,0,0,6
1,5,11,10,16,10,55,110,550,50,1,-1,-1,0,0,0,0,0,0,6
0,6,8,7,16,10,48,56,336,60,2,450,224,1,0.4265,0.238,0.3237,0.1875,0.1587,5
0,6,8,8,16,10,48,64,384,60,2,450,225,1,0.4916,0.276,0.3237,0.1875,0.1813,6
0,6,9,7,16,10,54,63,378,60,2,450,225,1,0.4534,0.253,0.406,0.1875,0.1587,6
0,6,9,8,16,10,54,72,432,60,2,450,223,1,0.528,0.296,0.407,0.1875,0.1813,6
1,6,9,9,16,10,54,81,486,60,2,-1,-1,0,0.6173,0.3448,0.411,0.1875,0.2039,6
0,6,10,8,16,10,60,80,480,60,1,450,204,1,0.5536,0.3092,0.3624,0.175,0.16,6
0,6,10,9,16,10,60,90,540,60,1,-1,-1,0,0.6552,0.3623,0.3663,0.175,0.18,6
1,6,10,10,16,10,60,100,600,60,1,-1,-1,0,0,0,0,0,0,6
1,6,11,10,16,10,66,110,660,60,1,-1,-1,0,0,0,0,0,0,6
1,6,11,11,16,10,66,121,726,60,1,-1,-1,0,0,0,0,0,0,6
1,7,8,7,16,8,56,56,392,56,1,-1,-1,0,0.4372,0.2463,0.3038,0.175,0.1633,6
0,7,8,8,16,8,56,64,448,56,1,450,218,1,0.5064,0.2878,0.3038,0.175,0.1866,6
0,7,9,6,16,8,63,54,378,56,1,450,198,1,0.4263,0.2388,0.3951,0.175,0.1587,5
0,7,9,7,16,8,63,63,441,56,1,450,220,1,0.5098,0.2839,0.3951,0.175,0.1851,6
0,7,9,8,16,8,63,72,504,56,1,450,183,1,0.595,0.3327,0.3951,0.175,0.2114,6
0,7,9,9,16,8,63,81,567,56,1,-1,-1,0,0,0,0,0,0,6
1,7,10,7,16,8,70,70,490,56,1,-1,-1,0,0.5449,0.3028,0.3638,0.2042,0.1851,6
0,7,10,8,16,8,70,80,560,56,1,450,198,1,0.635,0.3558,0.3638,0.2042,0.2114,6
0,7,10,9,16,8,70,90,630,56,1,-1,-1,0,0,0,0,0,0,6
1,7,10,10,16,8,70,100,700,56,1,-1,-1,0,0,0,0,0,0,6
0,8,8,6,16,8,64,48,384,64,1,450,214,1,0.4046,0.2288,0.3336,0.2,0.16,5
0,8,8,7,16,8,64,56,448,64,1,450,222,1,0.485,0.2718,0.3336,0.2,0.1866,6
0,8,8,8,16,8,64,64,512,64,1,450,216,1,0.5653,0.3193,0.3336,0.2,0.2132,6
0,8,9,7,16,8,72,63,504,64,1,450,206,1,0.5672,0.3145,0.4368,0.2,0.2114,6
0,8,9,8,16,8,72,72,576,64,1,-1,-1,0,0,0,0,0,0,6
0,8,9,9,16,8,72,81,648,64,1,-1,-1,0,0,0,0,0,0,6
0,8,10,8,16,8,80,80,640,64,1,-1,-1,0,0,0,0,0,0,6
0,8,10,9,16,8,80,90,720,64,1,-1,-1,0,0,0,0,0,0,6
0,9,7,5,16,4,63,35,315,36,1,450,225,1,0.3826,0.2095,0.2731,0.1406,0.17,4
0,9,7,6,16,4,63,42,378,36,1,450,225,1,0.4464,0.2509,0.2721,0.1406,0.2039,5
0,9,7,7,16,4,63,49,441,36,1,450,225,1,0.5336,0.2973,0.2731,0.1406,0.2378,6
0,9,8,6,16,4,72,48,432,36,1,450,225,1,0.4367,0.2475,0.2329,0.1125,0.18,5
0,9,8,7,16,4,72,56,504,36,1,450,225,1,0.5276,0.297,0.2329,0.1125,0.2099,6
1,9,8,8,16,4,72,64,576,36,1,450,172,1,0.616,0.3494,0.2329,0.1125,0.2398,6
0,9,9,7,16,4,81,63,567,36,1,450,199,1,0.6225,0.3448,0.2976,0.1125,0.2378,6
0,9,9,8,16,4,81,72,648,36,1,-1,-1,0,0,0,0,0,0,6
1,9,9,9,16,4,81,81,729,36,1,-1,-1,0,0,0,0,0,0,6
1,9,10,8,16,4,90,80,720,36,1,-1,-1,0,0,0,0,0,0,6
1,9,10,9,16,4,90,90,810,36,1,-1,-1,0,0,0,0,0,0,6
0,10,6,4,16,4,60,24,240,40,1,450,225,1,0.3122,0.1735,0.3118,0.125,0.1512,3
0,10,6,5,16,4,60,30,300,40,1,450,225,1,0.3811,0.2096,0.3118,0.125,0.1888,4
0,10,6,6,16,4,60,36,360,40,1,450,225,1,0.4452,0.2499,0.3118,0.125,0.2265,5
0,10,7,5,16,4,70,35,350,40,1,450,225,1,0.4137,0.2254,0.2919,0.1563,0.1888,5
0,10,7,6,16,4,70,42,420,40,1,450,225,1,0.4837,0.2702,0.2909,0.1563,0.2265,6
0,10,7,7,16,4,70,49,490,40,1,450,224,1,0.5811,0.3227,0.2919,0.1563,0.2642,6
0,10,8,6,16,4,80,48,480,40,1,450,225,1,0.4734,0.268,0.2463,0.125,0.1999,6
0,10,8,7,16,4,80,56,560,40,1,450,225,1,0.5741,0.3222,0.2473,0.125,0.2332,6
0,10,8,8,16,4,80,64,640,40,1,-1,-1,0,0,0,0,0,0,6
0,10,9,7,16,4,90,63,630,40,1,-1,-1,0,0,0,0,0,0,6
1,10,9,8,16,4,90,72,720,40,1,-1,-1,0,0,0,0,0,0,6
0,10,9,9,16,4,90,81,810,40,1,-1,-1,0,0,0,0,0,0,6
0,11,6,4,16,4,66,24,264,44,1,450,225,1,0.3323,0.1837,0.3326,0.1375,0.1662,4
0,11,6,5,16,4,66,30,330,44,1,450,225,1,0.4096,0.2237,0.3326,0.1375,0.2077,5
0,11,6,6,16,4,66,36,396,44,1,450,225,1,0.4791,0.2682,0.3326,0.1375,0.2491,6
0,11,7,5,16,4,77,35,385,44,1,450,225,1,0.4443,0.241,0.3108,0.1719,0.2077,5
0,11,7,6,16,4,77,42,462,44,1,450,225,1,0.5224,0.2906,0.3108,0.1719,0.2491,6
0,11,7,7,16,4,77,49,539,44,1,450,224,1,0.6277,0.3466,0.3098,0.1719,0.2906,6
0,11,8,6,16,4,88,48,528,44,1,450,225,1,0.5107,0.2874,0.2617,0.1375,0.2199,6
0,11,8,7,16,4,88,56,616,44,1,450,210,1,0.6194,0.3461,0.2617,0.1375,0.2564,6
1,11,8,8,16,4,88,64,704,44,1,-1,-1,0,0,0,0,0,0,6
1,11,9,7,16,4,99,63,693,44,1,-1,-1,0,0,0,0,0,0,6
1,11,9,8,16,4,99,72,792,44,1,-1,-1,0,0,0,0,0,0,6
