NUM HASH,NUM PART,NUM STM,SHUFBUF_SZ,BVLEN PER HASH,HBM FREQ,KERNEL FREQ,BUILD PASS?
3,4,6,16,16,450,198,1
3,8,6,16,16,371,171,1
3,16,6,16,16,-1,-1,0
4,4,6,16,16,450,193,1
4,8,6,16,16,450,170,1
4,16,6,16,16,-1,-1,0
5,4,6,16,16,450,185,1
5,8,6,16,16,450,166,1
5,16,6,16,16,-1,-1,0
6,4,6,16,16,449,181,1
6,8,6,16,16,426,158,1
6,16,6,16,16,-1,-1,0
7,4,6,16,16,450,192,1
7,8,6,16,16,450,159,1
7,16,6,16,16,-1,-1,0
8,4,6,16,16,450,180,1
8,8,6,16,16,450,158,1
8,16,6,16,16,-1,-1,0
9,2,6,16,1,450,216.1,1
9,4,6,16,16,450,187.7,1
9,8,6,16,16,437,146.01,1
9,8,6,16,16,450,144.3,1
9,16,6,16,16,-1,-1,0
3,8,2,16,16,450,195,1
3,8,3,16,16,450,191,1
3,8,4,16,16,450,186,1
3,8,5,16,16,450,182,1
3,8,6,16,16,397,175.8,1
3,8,7,16,16,450,171,1
3,8,8,16,16,-1,-1,0
4,8,2,16,16,450,188,1
4,8,3,16,16,450,182,1
4,8,4,16,16,450,178,1
4,8,5,16,16,450,175,1
4,8,6,16,16,385,168.01,1
4,8,7,16,16,450,172,1
4,8,8,16,16,450,158,1
5,8,2,16,16,380,193,1
5,8,3,16,16,450,187,1
5,8,4,16,16,337,177,1
5,8,5,16,16,450,167,1
5,8,6,16,16,450,162.9,1
5,8,7,16,16,450,160,1
5,8,8,16,16,450,159,1
6,8,2,16,16,450,186,1
6,8,3,16,16,353,174,1
6,8,4,16,16,450,178,1
6,8,5,16,16,450,161,1
6,8,6,16,16,444,159.6,1
6,8,7,16,16,450,152,1
6,8,8,16,16,450,158,1
7,8,2,16,16,450,178,1
7,8,3,16,16,450,180,1
7,8,4,16,16,450,174,1
7,8,5,16,16,450,164,1
7,8,6,16,16,442,152.8,1
7,8,7,16,16,-1,-1,0
7,8,8,16,16,396,134,1
8,8,2,16,16,339,182,1
8,8,3,16,16,450,176,1
8,8,4,16,16,450,170,1
8,8,5,16,16,439,162,1
8,8,6,16,16,450,158,1
8,8,6,16,16,442,152.3,1
8,8,7,16,16,-1,-1,0
8,8,8,16,16,-1,-1,0
9,8,2,16,16,450,183.1,1
9,8,3,16,16,414,174.1,1
9,8,4,16,16,450,160.9,1
9,8,5,16,16,425,158.5,1
9,8,6,16,16,437,146.01,1
9,8,7,16,16,-1,-1,0
9,8,8,16,16,-1,-1,0
3,8,6,2,16,450,185,1
3,8,6,4,16,349,183,1
3,8,6,8,16,450,187,1
3,8,6,16,16,450,175,1
3,8,6,32,16,450,135,1
4,8,6,2,16,450,184,1
4,8,6,4,16,450,182,1
4,8,6,8,16,450,187,1
4,8,6,16,16,450,164,1
4,8,6,32,16,-1,-1,0
5,8,6,2,16,450,188,1
5,8,6,4,16,450,187,1
5,8,6,8,16,450,173,1
5,8,6,16,16,450,173,1
5,8,6,32,16,450,130.9,1
6,8,6,2,16,450,175,1
6,8,6,4,16,450,177,1
6,8,6,8,16,450,180,1
6,8,6,16,16,450,157,1
6,8,6,32,16,-1,-1,0
7,8,6,2,16,450,191,1
7,8,6,4,16,450,178,1
7,8,6,8,16,450,177,1
7,8,6,16,16,415,158,1
7,8,6,32,16,-1,-1,0
8,8,6,2,16,450,183,1
